genres,budget,revenue,profit,popularity,vote_average,vote_count,runtime,genre_name
Action,60000000,133718711,68761661,36,6,3323,112,Action
Adventure,103000000,255825100,138622422,38,7,4052,110,Adventure
Animation,75000000,218349271,147401898,34,7,2096,93,Animation
Comedy,29000000,70611342,41390858,21,6,1498,101,Comedy
Crime,26610000,39289373,13479674,22,6,1614,111,Crime
Documentary,3000000,5892466,4892466,10,7,63,100,Documentary
Drama,18000000,30688247,9864930,18,7,1282,112,Drama
Family,75000000,196213478,99592154,30,7,2035,97,Family
Fantasy,90000000,208969096,125581173,37,6,3627,108,Fantasy
History,25000000,38864643,9820014,22,7,1358,124,History
Horror,9000000,44516999,33336181,23,6,1646,97,Horror
Music,18000000,32726956,9792000,22,7,568,107,Music
Mystery,19500000,40423945,15354990,23,6,1798,106,Mystery
Romance,17000000,33766787,12756590,18,7,1481,109,Romance
Science Fiction,97000000,209154322,86328627,44,6,4606,115,Science Fiction
Thriller,20000000,37482758,13746984,24,6,1553,106,Thriller
War,33839867,24059642,2199884,22,7,994,115,War
Western,38000000,37589296,-1770906,22,7,2236,122,Western
